brand,category,price,sale_price,rating,review_count,description,website,date_collected,attributes,brand_type,on_sale,discount_pct,price_category
Well Earth Goods,cleaning,6.27,6.27,,273.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,budget (<$10)
Earth Breeze,cleaning,18.76,18.76,4.0,453.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Package Free,bath,16.32,16.32,3.8,457.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Seventh Generation,kitchen,30.82,30.82,4.1,96.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Earth Breeze,laundry,39.08,39.08,4.3,41.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Well Earth Goods,bath,11.85,11.85,4.1,,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Package Free,laundry,38.29,38.29,3.8,487.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Bambo Nature,cleaning,12.76,12.76,4.2,448.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Attitude,kitchen,16.13,16.13,4.0,494.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Attitude,cleaning,14.35,14.35,4.6,274.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
EarthHero,bath,22.7,22.7,4.6,266.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Seventh Generation,cleaning,17.38,14.38,4.0,46.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,17.26,mid ($10-25)
Well Earth Goods,cleaning,8.87,8.87,4.4,343.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,budget (<$10)
Earth Breeze,laundry,15.1,15.1,4.3,291.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Blueland,laundry,31.87,31.87,4.7,292.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Package Free,bath,29.76,29.76,4.0,292.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Bambo Nature,cleaning,17.8,,3.8,77.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
EcoRoots,cleaning,16.98,13.88,4.7,469.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,18.26,mid ($10-25)
Bambo Nature,kitchen,24.12,24.12,4.7,276.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Method,bath,19.55,,4.2,124.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Seventh Generation,cleaning,24.72,24.72,4.3,288.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Method,bath,5.43,4.44,4.2,380.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,18.23,budget (<$10)
Well Earth Goods,kitchen,28.1,24.58,,,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,12.53,premium ($25-50)
Method,laundry,32.01,25.82,4.1,351.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,19.34,premium ($25-50)
The Good Fill,laundry,35.48,25.01,4.1,368.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,29.51,premium ($25-50)
Package Free,bath,21.7,,4.9,294.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Grove Collaborative,cleaning,24.31,24.31,4.1,178.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
EcoRoots,cleaning,23.88,23.88,4.0,273.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Blueland,bath,26.95,26.95,4.0,413.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
EarthHero,cleaning,24.53,24.53,4.0,211.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
ECOS,laundry,34.83,34.83,4.0,373.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,False,0.0,premium ($25-50)
Well Earth Goods,kitchen,11.42,11.42,4.7,468.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Who Gives A Crap,cleaning,12.96,12.96,4.4,144.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Mrs. Meyer's,cleaning,15.75,15.75,3.9,251.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Method,laundry,18.22,18.22,4.4,67.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Public Goods,bath,13.3,,4.7,403.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Mrs. Meyer's,bath,9.12,9.12,4.4,97.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,budget (<$10)
Earth Breeze,bath,12.24,12.24,4.0,434.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
EcoRoots,cleaning,22.97,17.38,3.9,39.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,24.34,mid ($10-25)
Who Gives A Crap,bath,20.51,20.51,4.8,129.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
EcoRoots,bath,5.78,,,358.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Mrs. Meyer's,laundry,31.77,26.63,4.8,16.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,16.18,premium ($25-50)
The Good Fill,laundry,37.17,26.24,3.8,281.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,29.41,premium ($25-50)
Attitude,laundry,21.99,21.99,,63.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Seventh Generation,kitchen,26.22,26.22,4.7,407.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
ECOS,laundry,23.3,18.31,3.9,432.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,True,21.42,mid ($10-25)
